branch,tip,t,N,S,dN_dS,dN,dS,N_dN,S_dS
41,42,0.041,26070.4,9659.6,0.1674,0.0059,0.0351,153.2,339.2
42,43,0.025,26070.4,9659.6,0.2019,0.0041,0.0201,105.9,194.2
43,44,0.008,26070.4,9659.6,0.264,0.0015,0.0058,40,56.2
44,45,0.006,26070.4,9659.6,0.1294,0.0008,0.0059,19.9,57
45,18,0.027,26070.4,9659.6,0.1415,0.0035,0.0244,90,235.6
45,46,0.002,26070.4,9659.6,0.1371,0.0002,0.0016,5.6,15.2
46,19,0.028,26070.4,9659.6,0.2349,0.0049,0.021,128.4,202.5
46,17,0.028,26070.4,9659.6,0.1561,0.0038,0.0246,100.1,237.7
44,31,0.037,26070.4,9659.6,0.1859,0.0056,0.0301,145.9,290.8
43,47,0.012,26070.4,9659.6,0.1993,0.002,0.0099,51.6,96
47,48,0.004,26070.4,9659.6,0.214,0.0006,0.003,16.8,29
48,1,0.036,26070.4,9659.6,0.1648,0.0051,0.0308,132.3,297.6
48,49,0.007,26070.4,9659.6,0.2429,0.0012,0.0049,30.9,47.1
49,50,0.006,26070.4,9659.6,0.171,0.0009,0.0051,22.6,48.9
50,51,0.006,26070.4,9659.6,0.1912,0.001,0.0051,25.6,49.6
51,52,0.007,26070.4,9659.6,0.1166,0.0008,0.0066,20.1,63.9
52,53,0.005,26070.4,9659.6,0.0816,0.0004,0.0049,10.4,47
53,13,0.034,26070.4,9659.6,0.2557,0.0064,0.0249,165.7,240.1
53,14,0.031,26070.4,9659.6,0.2464,0.0056,0.0228,146.5,220.3
52,15,0.03,26070.4,9659.6,0.2008,0.0048,0.0241,126,232.5
51,6,0.05,26070.4,9659.6,0.1839,0.0076,0.0413,197.8,398.5
50,54,0.03,26070.4,9659.6,0.1205,0.0034,0.0283,89,273.7
54,7,0.024,26070.4,9659.6,0.1791,0.0036,0.02,93.6,193.7
54,55,0.011,26070.4,9659.6,0.1075,0.0011,0.0101,28.4,97.9
55,56,0.007,26070.4,9659.6,0.1803,0.0011,0.0062,29.1,59.8
56,12,0.017,26070.4,9659.6,0.1784,0.0025,0.0143,66.4,137.9
56,5,0.018,26070.4,9659.6,0.2215,0.0031,0.0141,81.2,135.8
55,57,0.005,26070.4,9659.6,0.0606,0.0003,0.0058,9.1,55.6
57,58,0.007,26070.4,9659.6,0.1472,0.0009,0.006,23.1,58.2
58,3,0.021,26070.4,9659.6,0.2363,0.0038,0.0161,99.1,155.5
58,11,0.019,26070.4,9659.6,0.1922,0.0029,0.0153,76.6,147.7
57,8,0.018,26070.4,9659.6,0.2272,0.0032,0.0139,82.3,134.2
49,59,0.003,26070.4,9659.6,0.0924,0.0003,0.0032,7.8,31.4
59,60,0.029,26070.4,9659.6,0.1528,0.0038,0.0249,99.2,240.4
60,4,0.05,26070.4,9659.6,0.279,0.0098,0.035,254.5,337.9
60,61,0.026,26070.4,9659.6,0.1407,0.0033,0.0231,84.8,223.3
61,10,0.01,26070.4,9659.6,0.1186,0.0011,0.0094,29,90.7
61,9,0.007,26070.4,9659.6,0.1665,0.001,0.0062,27,60
59,16,0.045,26070.4,9659.6,0.1978,0.0072,0.0365,188.1,352.4
47,2,0.053,26070.4,9659.6,0.1439,0.0068,0.0471,176.6,454.6
42,62,0.019,26070.4,9659.6,0.1336,0.0024,0.0176,61.4,170.3
62,63,0.005,26070.4,9659.6,0.2135,0.0008,0.0036,19.8,34.3
63,37,0.022,26070.4,9659.6,0.1985,0.0036,0.0179,92.6,172.9
63,64,0.003,26070.4,9659.6,0.2334,0.0005,0.002,12.4,19.7
64,22,0.017,26070.4,9659.6,0.2575,0.0031,0.0121,81,116.5
64,40,0.012,26070.4,9659.6,0.1974,0.002,0.01,51.4,96.4
62,65,0.003,26070.4,9659.6,0.0594,0.0002,0.0036,5.5,34.5
65,34,0.018,26070.4,9659.6,0.4908,0.0047,0.0096,122.7,92.7
65,66,0.005,26070.4,9659.6,0.0978,0.0005,0.005,12.6,47.9
66,21,0.017,26070.4,9659.6,0.1658,0.0024,0.0147,63.7,142.4
66,67,0.002,26070.4,9659.6,0.4821,0.0004,0.0009,10.7,8.2
67,28,0.016,26070.4,9659.6,0.2158,0.0026,0.0122,68.4,117.4
67,30,0.022,26070.4,9659.6,0.1973,0.0034,0.0173,89,167.2
41,68,0.088,26070.4,9659.6,0.1463,0.0114,0.0776,296,749.7
68,32,0.011,26070.4,9659.6,0.3084,0.0023,0.0075,60.2,72.3
68,36,0.013,26070.4,9659.6,0.2877,0.0026,0.0092,68.7,88.5
41,69,0.048,26070.4,9659.6,0.1282,0.0056,0.0438,146.5,423.5
69,70,0.004,26070.4,9659.6,0.092,0.0003,0.0036,8.7,34.8
70,71,0,26070.4,9659.6,0.816,0.0001,0.0001,2.3,1
71,38,0.012,26070.4,9659.6,0.3052,0.0025,0.0083,66.1,80.3
71,72,0.002,26070.4,9659.6,0.0847,0.0002,0.0023,5,21.8
72,73,0.001,26070.4,9659.6,0.1625,0.0002,0.0011,4.5,10.2
73,74,0,26070.4,9659.6,1.0111,0.0001,0.0001,2.7,1
74,75,0.001,26070.4,9659.6,0.1685,0.0002,0.0011,4.8,10.6
75,33,0.009,26070.4,9659.6,0.2915,0.0017,0.006,45.4,57.8
75,26,0.011,26070.4,9659.6,0.2579,0.002,0.0079,53.4,76.7
74,29,0.015,26070.4,9659.6,0.2525,0.0027,0.0108,71.4,104.8
73,35,0.013,26070.4,9659.6,0.2806,0.0025,0.0091,66.2,87.5
72,39,0.011,26070.4,9659.6,0.4008,0.0026,0.0064,67.2,62.2
70,76,0.001,26070.4,9659.6,0.211,0.0002,0.0007,3.9,6.9
76,77,0.002,26070.4,9659.6,0.1872,0.0004,0.0019,9.1,18.1
77,24,0.011,26070.4,9659.6,0.205,0.0018,0.0088,46.8,84.5
77,25,0.023,26070.4,9659.6,0.3575,0.0053,0.0147,137.2,142.2
76,78,0.002,26070.4,9659.6,0.2532,0.0004,0.0015,10.1,14.8
78,23,0.007,26070.4,9659.6,0.1239,0.0007,0.006,19.5,58.2
78,20,0.016,26070.4,9659.6,0.2157,0.0027,0.0126,71.1,122.1
69,27,0.014,26070.4,9659.6,0.3121,0.003,0.0095,77.7,92.2